county,state,svi,pct_reporting,pct_onedose
Patillas Municipio,PR,Mod-High,97.8,90
Penuelas Municipio,PR,Low,97.8,93
Ponce Municipio,PR,High,97.8,95
Quebradillas Municipio,PR,Low-Mod,97.8,90.8
Rincon Municipio,PR,Low,97.8,84.5
Rio Grande Municipio,PR,High,97.8,80.8
Sabana Grande Municipio,PR,Low-Mod,97.8,89.7
Salinas Municipio,PR,High,97.8,82.8
San German Municipio,PR,Low-Mod,97.8,83.4
San Juan Municipio,PR,Mod-High,97.8,95
San Lorenzo Municipio,PR,Low-Mod,97.8,85.1
San Sebastian Municipio,PR,Low-Mod,97.8,93.3
Santa Isabel Municipio,PR,Mod-High,97.8,80.5
Toa Alta Municipio,PR,Low,97.8,75.2
Toa Baja Municipio,PR,Low,97.8,85.1
Trujillo Alto Municipio,PR,Low,97.8,77.3
Utuado Municipio,PR,High,97.8,81.5
Vega Alta Municipio,PR,High,97.8,78
Vega Baja Municipio,PR,Mod-High,97.8,92.6
Vieques Municipio,PR,Low-Mod,97.8,82.7
Villalba Municipio,PR,Mod-High,97.8,95
Yabucoa Municipio,PR,Mod-High,97.8,82.8
Yauco Municipio,PR,Low-Mod,97.8,94
Bristol County,RI,Low,88,93.7
Kent County,RI,Low,88,90
Newport County,RI,Low-Mod,88,95
Providence County,RI,High,88,84
Washington County,RI,Low,88,94.2
Abbeville County,SC,High,92.9,46.5
Aiken County,SC,Mod-High,92.9,58.6
Allendale County,SC,High,92.9,71.9
Anderson County,SC,Mod-High,92.9,47.5
Bamberg County,SC,High,92.9,60
Barnwell County,SC,High,92.9,66.8
Beaufort County,SC,Mod-High,92.9,84.8
Berkeley County,SC,Mod-High,92.9,66.1
Calhoun County,SC,High,92.9,50.7
Charleston County,SC,Low-Mod,92.9,81.3
Cherokee County,SC,Mod-High,92.9,41.2
Chester County,SC,Mod-High,92.9,55.5
Chesterfield County,SC,High,92.9,47.2
Clarendon County,SC,High,92.9,59.3
Colleton County,SC,High,92.9,59.8
Darlington County,SC,High,92.9,58.6
Dillon County,SC,High,92.9,54.5
Dorchester County,SC,Mod-High,92.9,65.6
Edgefield County,SC,High,92.9,76.3
Fairfield County,SC,Mod-High,92.9,80.6
Florence County,SC,High,92.9,65.5
Georgetown County,SC,Mod-High,92.9,67
Greenville County,SC,Mod-High,92.9,67.4
Greenwood County,SC,High,92.9,55.4
Hampton County,SC,High,92.9,76.5
Horry County,SC,Mod-High,92.9,69.2
Jasper County,SC,High,92.9,51
Kershaw County,SC,Low-Mod,92.9,71.9
Lancaster County,SC,Mod-High,92.9,64.7
Laurens County,SC,High,92.9,45.1
Lee County,SC,High,92.9,58.3
Lexington County,SC,Low-Mod,92.9,67.4
Marion County,SC,High,92.9,58.1
Marlboro County,SC,High,92.9,54
McCormick County,SC,Mod-High,92.9,70
Newberry County,SC,High,92.9,62.8
Oconee County,SC,High,92.9,53.6
Orangeburg County,SC,High,92.9,66.7
Pickens County,SC,Mod-High,92.9,54.9
Richland County,SC,High,92.9,75.6
Saluda County,SC,High,92.9,39
Spartanburg County,SC,High,92.9,52.1
Sumter County,SC,High,92.9,70.1
Union County,SC,High,92.9,50.1
Williamsburg County,SC,High,92.9,67
York County,SC,Low-Mod,92.9,66.1
Aurora County,SD,Low,96.7,68.5
Beadle County,SD,Mod-High,96.7,68.1
Bennett County,SD,High,96.7,83.6
Bon Homme County,SD,Low,96.7,70.1
Brookings County,SD,Low,96.7,66
Brown County,SD,Low,96.7,72.8
Brule County,SD,Low-Mod,96.7,87.1
Buffalo County,SD,High,96.7,71.9
Butte County,SD,Low-Mod,96.7,50.1
Campbell County,SD,Low,96.7,59.7
Charles Mix County,SD,Mod-High,96.7,81.7
Clark County,SD,Low,96.7,64.5
Clay County,SD,Mod-High,96.7,89.9
Codington County,SD,Low-Mod,96.7,72.1
Corson County,SD,High,96.7,76.1
Custer County,SD,Low-Mod,96.7,65.2
Davison County,SD,Low-Mod,96.7,86.6
Day County,SD,Low,96.7,84.1
Deuel County,SD,Low,96.7,57.5
Dewey County,SD,High,96.7,95
Douglas County,SD,Low,96.7,66.6
Edmunds County,SD,Low,96.7,58.4
Fall River County,SD,Mod-High,96.7,76.4
Faulk County,SD,Low-Mod,96.7,66.4
Grant County,SD,Low,96.7,69.5
Gregory County,SD,Low,96.7,62.6
Haakon County,SD,Low-Mod,96.7,50.9
Hamlin County,SD,Low,96.7,60.5
Hand County,SD,Low,96.7,56.3
Hanson County,SD,Low,96.7,61
Harding County,SD,Low,96.7,21.8
Hughes County,SD,Low-Mod,96.7,93.4
Hutchinson County,SD,Low,96.7,63.7
Hyde County,SD,Low,96.7,67.7
Jackson County,SD,High,96.7,73.6
Jerauld County,SD,Low,96.7,63.7
Jones County,SD,Low,96.7,95
Kingsbury County,SD,Low,96.7,90
Lake County,SD,Low,96.7,64
Lawrence County,SD,Low-Mod,96.7,77.1
Lincoln County,SD,Low,96.7,86
Lyman County,SD,High,96.7,91.1
Marshall County,SD,Low,96.7,64.5
McCook County,SD,Low,96.7,75.9
McPherson County,SD,Low,96.7,45.9
Meade County,SD,Low,96.7,71.1
Mellette County,SD,High,96.7,50.1
Miner County,SD,Low,96.7,68.3
Minnehaha County,SD,Low-Mod,96.7,95
Moody County,SD,Low-Mod,96.7,69.1
Oglala Lakota County,SD,High,96.7,95
Pennington County,SD,Mod-High,96.7,83.2
Perkins County,SD,Low-Mod,96.7,37.2
Potter County,SD,Low,96.7,72.6
Roberts County,SD,Mod-High,96.7,95
Sanborn County,SD,Low,96.7,70.4
Spink County,SD,Low,96.7,61.3
Stanley County,SD,Low,96.7,77
Sully County,SD,Low,96.7,57.7
Todd County,SD,High,96.7,95
Tripp County,SD,Mod-High,96.7,56.1
Turner County,SD,Low,96.7,68.3
Union County,SD,Low,96.7,72.6
Walworth County,SD,Low-Mod,96.7,60.5
Yankton County,SD,Low-Mod,96.7,84.7
Ziebach County,SD,High,96.7,45.2
Anderson County,TN,Mod-High,97.7,64.5
Bedford County,TN,Mod-High,97.7,51.9
Benton County,TN,Low-Mod,97.7,50.5
Bledsoe County,TN,Mod-High,97.7,43.7
Blount County,TN,Low-Mod,97.7,60.2
Bradley County,TN,Mod-High,97.7,48.7
Campbell County,TN,High,97.7,51.7
Cannon County,TN,Low-Mod,97.7,38
Carroll County,TN,Mod-High,97.7,57.2
Carter County,TN,Mod-High,97.7,47.6
Cheatham County,TN,Low-Mod,97.7,70.2
Chester County,TN,Mod-High,97.7,40.8
Claiborne County,TN,Mod-High,97.7,55.7
Clay County,TN,Mod-High,97.7,34.3
Cocke County,TN,Mod-High,97.7,57.8
Coffee County,TN,Mod-High,97.7,54.5
Crockett County,TN,High,97.7,56.2
Cumberland County,TN,Low-Mod,97.7,54.3
Davidson County,TN,Mod-High,97.7,77.8
Decatur County,TN,Low-Mod,97.7,43.2
DeKalb County,TN,Mod-High,97.7,48.8
Dickson County,TN,Low-Mod,97.7,56.8
Dyer County,TN,Mod-High,97.7,47.9
Fayette County,TN,Low-Mod,97.7,68.5
Fentress County,TN,Low-Mod,97.7,39.4
Franklin County,TN,Mod-High,97.7,48.6
Gibson County,TN,High,97.7,52.7
Giles County,TN,Low-Mod,97.7,46.4
Grainger County,TN,Mod-High,97.7,55.9
Greene County,TN,Mod-High,97.7,52.7
Grundy County,TN,High,97.7,36.2
Hamblen County,TN,High,97.7,49.9
Hamilton County,TN,Mod-High,97.7,66.6
Hancock County,TN,High,97.7,37
Hardeman County,TN,High,97.7,54.5
Hardin County,TN,Mod-High,97.7,47.8
Hawkins County,TN,Mod-High,97.7,51.2
Haywood County,TN,High,97.7,62.3
Henderson County,TN,Mod-High,97.7,47.5
Henry County,TN,Mod-High,97.7,55.4
Hickman County,TN,Low-Mod,97.7,48.6
Houston County,TN,Low-Mod,97.7,48.9
Humphreys County,TN,Low-Mod,97.7,47.8
Jackson County,TN,Mod-High,97.7,40.1
Jefferson County,TN,Mod-High,97.7,57.4
Johnson County,TN,Mod-High,97.7,45.1
Knox County,TN,Low-Mod,97.7,69.1
Lake County,TN,High,97.7,41.2
Lauderdale County,TN,High,97.7,44.2
Lawrence County,TN,High,97.7,42.9
Lewis County,TN,Mod-High,97.7,40.7
Lincoln County,TN,Low-Mod,97.7,47.6
Loudon County,TN,Low,97.7,72.9
Macon County,TN,Mod-High,97.7,38.1
Madison County,TN,High,97.7,62
Marion County,TN,Low-Mod,97.7,54.1
Marshall County,TN,Low-Mod,97.7,51.2
Maury County,TN,Low-Mod,97.7,74.1
McMinn County,TN,Mod-High,97.7,46.1
McNairy County,TN,Low-Mod,97.7,56.4
Meigs County,TN,Low-Mod,97.7,77.8
Monroe County,TN,Mod-High,97.7,49.1
Montgomery County,TN,Mod-High,97.7,74.1
Moore County,TN,Low,97.7,25.6
Morgan County,TN,Mod-High,97.7,59.5
Obion County,TN,High,97.7,49.8
Overton County,TN,Low-Mod,97.7,40.2
Perry County,TN,Mod-High,97.7,46.7
Pickett County,TN,Low-Mod,97.7,50.6
Polk County,TN,Low-Mod,97.7,46.7
Putnam County,TN,Mod-High,97.7,58
Rhea County,TN,High,97.7,49.6
Roane County,TN,Low-Mod,97.7,50.1
Robertson County,TN,Low-Mod,97.7,60.9
Rutherford County,TN,Low-Mod,97.7,63.6
Scott County,TN,Mod-High,97.7,41.9
Sequatchie County,TN,Mod-High,97.7,41.1
Sevier County,TN,Mod-High,97.7,58.9
Shelby County,TN,High,97.7,69.9
Smith County,TN,Low-Mod,97.7,38.9
Stewart County,TN,Low-Mod,97.7,51.5
Sullivan County,TN,Mod-High,97.7,66
Sumner County,TN,Low-Mod,97.7,56.7
Tipton County,TN,Low-Mod,97.7,47.8
Trousdale County,TN,Low-Mod,97.7,41.9
Unicoi County,TN,Mod-High,97.7,62.7
Union County,TN,Mod-High,97.7,40.3
Van Buren County,TN,Mod-High,97.7,66.7
Warren County,TN,High,97.7,47.9
Washington County,TN,Mod-High,97.7,69.8
Wayne County,TN,Mod-High,97.7,46.6
Weakley County,TN,Mod-High,97.7,44.5
White County,TN,Low-Mod,97.7,48.4
Williamson County,TN,Low,97.7,75.8
Wilson County,TN,Low,97.7,61.4
Anderson County,TX,High,98.9,46
Andrews County,TX,Mod-High,98.9,51.2
Angelina County,TX,High,98.9,53.8
Aransas County,TX,High,98.9,67.7
Archer County,TX,Low,98.9,69
Armstrong County,TX,Low,98.9,45.9
Atascosa County,TX,High,98.9,63
Austin County,TX,High,98.9,55.7
Bailey County,TX,High,98.9,46.9
Bandera County,TX,Mod-High,98.9,62.7
Bastrop County,TX,High,98.9,71.9
Baylor County,TX,Low-Mod,98.9,45.5
Bee County,TX,High,98.9,62
Bell County,TX,High,98.9,75.9
Bexar County,TX,High,98.9,88.1
Blanco County,TX,Low-Mod,98.9,68.8
Borden County,TX,Low-Mod,98.9,34.6
Bosque County,TX,Mod-High,98.9,51.6
Bowie County,TX,High,98.9,49.4
Brazoria County,TX,Mod-High,98.9,68.4
Brazos County,TX,High,98.9,61.3
Brewster County,TX,High,98.9,67.9
Briscoe County,TX,Mod-High,98.9,47.5
Brooks County,TX,High,98.9,95
Brown County,TX,High,98.9,47.7
Burleson County,TX,Mod-High,98.9,55.7
Burnet County,TX,Mod-High,98.9,63.1
Caldwell County,TX,High,98.9,69.5
Calhoun County,TX,Mod-High,98.9,59.5
Callahan County,TX,Low-Mod,98.9,50.1
Cameron County,TX,High,98.9,95
Camp County,TX,High,98.9,48
Carson County,TX,Low,98.9,41.4
Cass County,TX,High,98.9,42.3
Castro County,TX,High,98.9,53.1
Chambers County,TX,Low-Mod,98.9,56.1
Cherokee County,TX,High,98.9,45.8
Childress County,TX,Mod-High,98.9,51.9
Clay County,TX,Low,98.9,50.3
Cochran County,TX,High,98.9,44.9
Coke County,TX,Low-Mod,98.9,55
Coleman County,TX,Mod-High,98.9,41.1
Collin County,TX,Low-Mod,98.9,80.1
Collingsworth County,TX,High,98.9,41.6
Colorado County,TX,Mod-High,98.9,58.5
Comal County,TX,Low-Mod,98.9,74.4
Comanche County,TX,Mod-High,98.9,52.6
Concho County,TX,Low-Mod,98.9,64.7
Cooke County,TX,Mod-High,98.9,46.4
Coryell County,TX,High,98.9,59
Cottle County,TX,High,98.9,35.9
Crane County,TX,Mod-High,98.9,48.7
Crockett County,TX,Mod-High,98.9,56.4
Crosby County,TX,High,98.9,48.7
Culberson County,TX,High,98.9,61.5
Dallam County,TX,Mod-High,98.9,61.2
Dallas County,TX,High,98.9,73.2
Dawson County,TX,High,98.9,39.6
Deaf Smith County,TX,High,98.9,50.7
Delta County,TX,Low-Mod,98.9,42.1
Denton County,TX,Low-Mod,98.9,71.5
DeWitt County,TX,High,98.9,51.3
Dickens County,TX,High,98.9,36.2
Dimmit County,TX,High,98.9,95
Donley County,TX,Low-Mod,98.9,39.2
Duval County,TX,High,98.9,76
Eastland County,TX,High,98.9,43.2
Ector County,TX,High,98.9,52.5
Edwards County,TX,Mod-High,98.9,95
El Paso County,TX,High,98.9,95
Ellis County,TX,Mod-High,98.9,63.7
Erath County,TX,High,98.9,43.4
Falls County,TX,High,98.9,54.9
Fannin County,TX,Mod-High,98.9,52.1
Fayette County,TX,Low-Mod,98.9,57.4
Fisher County,TX,Low,98.9,42.1
Floyd County,TX,High,98.9,50.7
Foard County,TX,Mod-High,98.9,51.1
Fort Bend County,TX,Low-Mod,98.9,84.9
Franklin County,TX,Low-Mod,98.9,42.4
Freestone County,TX,High,98.9,44.2
Frio County,TX,High,98.9,87.9
Gaines County,TX,High,98.9,25.9
Galveston County,TX,Mod-High,98.9,69.4
Garza County,TX,Mod-High,98.9,55.7
Gillespie County,TX,Mod-High,98.9,62.6
Glasscock County,TX,Low-Mod,98.9,53.4
Goliad County,TX,Mod-High,98.9,48.8
Gonzales County,TX,High,98.9,57.2
Gray County,TX,High,98.9,46.9
Grayson County,TX,Mod-High,98.9,54.1
Gregg County,TX,High,98.9,53
Grimes County,TX,High,98.9,61.9
Guadalupe County,TX,Mod-High,98.9,66.6
Hale County,TX,High,98.9,50
Hall County,TX,High,98.9,49.2
Hamilton County,TX,Mod-High,98.9,55.1
Hansford County,TX,High,98.9,48.3
Hardeman County,TX,Mod-High,98.9,51.3
Hardin County,TX,Low-Mod,98.9,43.6
Harris County,TX,High,98.9,78
Harrison County,TX,High,98.9,47.1
Hartley County,TX,Mod-High,98.9,58.8
Haskell County,TX,High,98.9,45.7
Hays County,TX,Mod-High,98.9,77.1
Hemphill County,TX,Mod-High,98.9,47.8
Henderson County,TX,High,98.9,45.6
Hidalgo County,TX,High,98.9,95
Hill County,TX,High,98.9,49.3
Hockley County,TX,High,98.9,49.2
Hood County,TX,Low-Mod,98.9,55
Hopkins County,TX,Mod-High,98.9,45.6
Houston County,TX,High,98.9,48.2
Howard County,TX,High,98.9,45.1
Hudspeth County,TX,High,98.9,81.9
Hunt County,TX,High,98.9,50.4
Hutchinson County,TX,Low-Mod,98.9,41.3
Irion County,TX,Low-Mod,98.9,95
Jack County,TX,High,98.9,46.9
Jackson County,TX,High,98.9,50.8
Jasper County,TX,High,98.9,41.8
Jeff Davis County,TX,Mod-High,98.9,58.8
Jefferson County,TX,High,98.9,60.2
Jim Hogg County,TX,High,98.9,74.6
Jim Wells County,TX,High,98.9,65.9
Johnson County,TX,Mod-High,98.9,54.4
Jones County,TX,Mod-High,98.9,52.6
Karnes County,TX,High,98.9,64.5
Kaufman County,TX,Mod-High,98.9,63
Kendall County,TX,Low,98.9,73.2
Kenedy County,TX,Mod-High,98.9,60.9
Kent County,TX,Low,98.9,44.9
Kerr County,TX,High,98.9,61.9
Kimble County,TX,Mod-High,98.9,49.1
King County,TX,Low-Mod,98.9,26.1
Kinney County,TX,Mod-High,98.9,63.9
Kleberg County,TX,High,98.9,73.7
Knox County,TX,Mod-High,98.9,44.5
La Salle County,TX,High,98.9,75
Lamar County,TX,High,98.9,45.7
Lamb County,TX,High,98.9,50.7
Lampasas County,TX,Mod-High,98.9,54.5
Lavaca County,TX,Mod-High,98.9,46.7
Lee County,TX,Mod-High,98.9,54.7
Leon County,TX,Mod-High,98.9,42.8
Liberty County,TX,High,98.9,51.3
Limestone County,TX,High,98.9,44.2
Lipscomb County,TX,Mod-High,98.9,41.5
Live Oak County,TX,High,98.9,49.6
Llano County,TX,Mod-High,98.9,57.9
Loving County,TX,Low,98.9,26
Lubbock County,TX,High,98.9,57.4
Lynn County,TX,High,98.9,45.8
Madison County,TX,High,98.9,48.5
Marion County,TX,Mod-High,98.9,45.9
Martin County,TX,Low-Mod,98.9,39.4
Mason County,TX,Low-Mod,98.9,51.4
Matagorda County,TX,High,98.9,55.5
Maverick County,TX,High,98.9,95
McCulloch County,TX,High,98.9,42.9
McLennan County,TX,High,98.9,61.4
McMullen County,TX,Mod-High,98.9,49.1
Medina County,TX,Mod-High,98.9,65.7
Menard County,TX,High,98.9,58.4
Midland County,TX,Mod-High,98.9,52
Milam County,TX,High,98.9,51.3
Mills County,TX,Mod-High,98.9,48.2
Mitchell County,TX,Mod-High,98.9,40.2
Montague County,TX,Mod-High,98.9,41.6
Montgomery County,TX,Mod-High,98.9,67.2
Moore County,TX,High,98.9,61.6
Morris County,TX,High,98.9,50.5
Motley County,TX,Low-Mod,98.9,38.9
Nacogdoches County,TX,High,98.9,54.2
Navarro County,TX,High,98.9,52.9
Newton County,TX,High,98.9,28.7
Nolan County,TX,High,98.9,46.4
Nueces County,TX,High,98.9,68.9
Ochiltree County,TX,High,98.9,44.5
Oldham County,TX,Low,98.9,41.3
Orange County,TX,Mod-High,98.9,43.1
Palo Pinto County,TX,High,98.9,42.3
Panola County,TX,Mod-High,98.9,43.8
Parker County,TX,Low-Mod,98.9,53.9
Parmer County,TX,Mod-High,98.9,47
Pecos County,TX,High,98.9,67
Polk County,TX,High,98.9,61.9
Potter County,TX,High,98.9,56.5
Presidio County,TX,High,98.9,95
Rains County,TX,Low-Mod,98.9,41.9
Randall County,TX,Low-Mod,98.9,54.7
Reagan County,TX,Low-Mod,98.9,45.2
Real County,TX,High,98.9,58.3
Red River County,TX,Mod-High,98.9,47.8
Reeves County,TX,High,98.9,95
Refugio County,TX,High,98.9,61.4
Roberts County,TX,Low,98.9,35.2
Robertson County,TX,High,98.9,51.5
Rockwall County,TX,Low,98.9,69.7
Runnels County,TX,Mod-High,98.9,49.5
Rusk County,TX,High,98.9,45.4
Sabine County,TX,Mod-High,98.9,43
San Augustine County,TX,High,98.9,47.1
San Jacinto County,TX,Mod-High,98.9,40.1
San Patricio County,TX,High,98.9,67.4
San Saba County,TX,High,98.9,48.9
Schleicher County,TX,Mod-High,98.9,46
Scurry County,TX,High,98.9,53.6
Shackelford County,TX,Mod-High,98.9,42
Shelby County,TX,High,98.9,43.1
Sherman County,TX,Low-Mod,98.9,45.2
Smith County,TX,High,98.9,53.6
Somervell County,TX,Mod-High,98.9,51.8
Starr County,TX,High,98.9,95
Stephens County,TX,High,98.9,41.9
Sterling County,TX,Low-Mod,98.9,44.5
Stonewall County,TX,Low-Mod,98.9,44.7
Sutton County,TX,Mod-High,98.9,50.3
Swisher County,TX,High,98.9,46.4
Tarrant County,TX,Mod-High,98.9,66.6
Taylor County,TX,High,98.9,59.9
Terrell County,TX,Low,98.9,64.9
Terry County,TX,High,98.9,48.5
Throckmorton County,TX,Low-Mod,98.9,46.2
Titus County,TX,High,98.9,47.8
Tom Green County,TX,High,98.9,57.3
Travis County,TX,Mod-High,98.9,85.6
Trinity County,TX,High,98.9,45.5
Tyler County,TX,High,98.9,41.3
Upshur County,TX,Mod-High,98.9,39.9
Upton County,TX,Mod-High,98.9,46.1
Uvalde County,TX,High,98.9,66.2
Val Verde County,TX,High,98.9,93.4
Van Zandt County,TX,Mod-High,98.9,43
Victoria County,TX,High,98.9,56
Walker County,TX,High,98.9,55.9
Waller County,TX,High,98.9,49.3
Ward County,TX,Mod-High,98.9,43.3
Washington County,TX,High,98.9,57.1
Webb County,TX,High,98.9,95
Wharton County,TX,High,98.9,59.4
Wheeler County,TX,High,98.9,48.7
Wichita County,TX,High,98.9,60.4
Wilbarger County,TX,High,98.9,58.5
Willacy County,TX,High,98.9,91
Williamson County,TX,Low-Mod,98.9,82.6
Wilson County,TX,Low-Mod,98.9,61.4
Winkler County,TX,Mod-High,98.9,47.3
Wise County,TX,Mod-High,98.9,45.1
Wood County,TX,Mod-High,98.9,48.8
Yoakum County,TX,Low-Mod,98.9,48.5
Young County,TX,Mod-High,98.9,46.2
Zapata County,TX,High,98.9,72.2
Zavala County,TX,High,98.9,61.7
Beaver County,UT,Low,97.7,58
Box Elder County,UT,Low,97.7,60.4
Cache County,UT,Low-Mod,97.7,70.3
Carbon County,UT,Mod-High,97.7,57.7
Daggett County,UT,Low,97.7,92.8
Davis County,UT,Low,97.7,76.4
Duchesne County,UT,Mod-High,97.7,55.4
Emery County,UT,Low,97.7,51.9
Garfield County,UT,Low-Mod,97.7,66.2
Grand County,UT,Mod-High,97.7,82.5
Iron County,UT,Low-Mod,97.7,54.8
Juab County,UT,Low,97.7,44.6
Kane County,UT,Low-Mod,97.7,60
Millard County,UT,Low-Mod,97.7,54.4
Morgan County,UT,Low,97.7,64.5
Piute County,UT,Low-Mod,97.7,48
Rich County,UT,Low,97.7,68.2
Salt Lake County,UT,Low-Mod,97.7,82.3
San Juan County,UT,High,97.7,79.2
Sanpete County,UT,Low-Mod,97.7,49
Sevier County,UT,Low-Mod,97.7,52.6
Summit County,UT,Low,97.7,95
Tooele County,UT,Low-Mod,97.7,69.3
Uintah County,UT,Mod-High,97.7,53.8
Utah County,UT,Low-Mod,97.7,69.2
Wasatch County,UT,Low,97.7,70
Washington County,UT,Low-Mod,97.7,60.8
Wayne County,UT,Low-Mod,97.7,63.1
Weber County,UT,Low-Mod,97.7,70.4
Addison County,VT,Low,73.3,85.4
Bennington County,VT,Low-Mod,73.3,53.4
Caledonia County,VT,Low-Mod,73.3,44.4
Chittenden County,VT,Low,73.3,89.7
Essex County,VT,Low-Mod,73.3,51.3
Franklin County,VT,Low,73.3,43.5
Grand Isle County,VT,Low,73.3,95
Lamoille County,VT,Low,73.3,78.6
Orange County,VT,Low,73.3,68.3
Orleans County,VT,Low-Mod,73.3,69.2
Rutland County,VT,Low-Mod,73.3,82.9
Washington County,VT,Low,73.3,56.3
Windham County,VT,Low-Mod,73.3,86.5
Windsor County,VT,Low,73.3,67.7
Accomack County,VA,High,78.1,86.7
Albemarle County,VA,Low,78.1,80.9
Alexandria city,VA,Low-Mod,78.1,86
Alleghany County,VA,Low-Mod,78.1,48.4
Amelia County,VA,Low-Mod,78.1,39.3
Amherst County,VA,Low-Mod,78.1,53.5
Appomattox County,VA,Low,78.1,37.2
Arlington County,VA,Low,78.1,95
Augusta County,VA,Low,78.1,56.2
Bath County,VA,Low-Mod,78.1,50.4
Bedford County,VA,Low,78.1,52.5
Bland County,VA,Low,78.1,46.9
Botetourt County,VA,Low,78.1,58.7
Bristol city,VA,High,78.1,83
Brunswick County,VA,High,78.1,62
Buchanan County,VA,Mod-High,78.1,54.7
Buckingham County,VA,High,78.1,46.3
Buena Vista city,VA,Mod-High,78.1,41.4
Campbell County,VA,Low-Mod,78.1,45.4
Caroline County,VA,Low-Mod,78.1,50.7
Carroll County,VA,Low-Mod,78.1,38.3
Charles City County,VA,Low-Mod,78.1,95
Charlotte County,VA,High,78.1,44.2
Charlottesville city,VA,Mod-High,78.1,63.3
Chesapeake city,VA,Low-Mod,78.1,64.6
Chesterfield County,VA,Low-Mod,78.1,66.9
Clarke County,VA,Low,78.1,81.9
Colonial Heights city,VA,Mod-High,78.1,41.2
Covington city,VA,Low,78.1,41.1
Craig County,VA,Low,78.1,38.4
Culpeper County,VA,Low-Mod,78.1,60.3
Cumberland County,VA,Low-Mod,78.1,43
Danville city,VA,High,78.1,39.8
Dickenson County,VA,Mod-High,78.1,56.7
Dinwiddie County,VA,Low-Mod,78.1,55.7
Emporia city,VA,High,78.1,38.1
Essex County,VA,High,78.1,51
Fairfax city,VA,Low-Mod,78.1,86
Fairfax County,VA,Low-Mod,78.1,95
Falls Church city,VA,Low,78.1,73.5
Fauquier County,VA,Low,78.1,81.4
Floyd County,VA,Low,78.1,43.3
Fluvanna County,VA,Low,78.1,75.2
Franklin city,VA,High,78.1,46.1
Franklin County,VA,Low-Mod,78.1,50.9
Frederick County,VA,Low,78.1,61.1
Fredericksburg city,VA,Mod-High,78.1,50.5
Galax city,VA,High,78.1,41.3
Giles County,VA,Low,78.1,51.9
Gloucester County,VA,Low,78.1,72.7
Goochland County,VA,Low,78.1,74.4
Grayson County,VA,Mod-High,78.1,48.2
Greene County,VA,Low-Mod,78.1,51.7
Greensville County,VA,High,78.1,44.5
Halifax County,VA,Mod-High,78.1,50.7
Hampton city,VA,Mod-High,78.1,74.1
Hanover County,VA,Low,78.1,66.7
Harrisonburg city,VA,High,78.1,43.2
Henrico County,VA,Low-Mod,78.1,63.3
Henry County,VA,High,78.1,45.2
Highland County,VA,Low,78.1,70.3
Hopewell city,VA,High,78.1,38.6
Isle of Wight County,VA,Low-Mod,78.1,62.4
James City County,VA,Low,78.1,65.3
King and Queen County,VA,Low,78.1,57.6
King George County,VA,Low,78.1,50.6
King William County,VA,Low,78.1,58.4
Lancaster County,VA,Low-Mod,78.1,68.3
Lee County,VA,High,78.1,60.5
Lexington city,VA,Low,78.1,44
Loudoun County,VA,Low,78.1,94.7
Louisa County,VA,Low-Mod,78.1,47.7
Lunenburg County,VA,High,78.1,56.4
Lynchburg city,VA,High,78.1,35.7
Madison County,VA,Low,78.1,65.6
Manassas city,VA,Mod-High,78.1,60.5
Manassas Park city,VA,Mod-High,78.1,53.9
Martinsville city,VA,High,78.1,45.5
Mathews County,VA,Low,78.1,69.6
Mecklenburg County,VA,Mod-High,78.1,51.9
Middlesex County,VA,Low-Mod,78.1,72.5
Montgomery County,VA,Low-Mod,78.1,56.6
Nelson County,VA,Low,78.1,66
New Kent County,VA,Low,78.1,59.2
Newport News city,VA,High,78.1,62.3
Norfolk city,VA,High,78.1,84.9
Northampton County,VA,High,78.1,80.7
Northumberland County,VA,Low,78.1,60.8
Norton city,VA,Mod-High,78.1,38.4
Nottoway County,VA,High,78.1,48.4
Orange County,VA,Low-Mod,78.1,52.2
Page County,VA,Low-Mod,78.1,42.1
Patrick County,VA,Low-Mod,78.1,46
Petersburg city,VA,High,78.1,42.1
Pittsylvania County,VA,Mod-High,78.1,48.3
Poquoson city,VA,Low,78.1,49.5
Portsmouth city,VA,High,78.1,59.6
Powhatan County,VA,Low,78.1,43.6
Prince Edward County,VA,High,78.1,35.6
Prince George County,VA,Low-Mod,78.1,62.6
Prince William County,VA,Low-Mod,78.1,91.8
Pulaski County,VA,Low-Mod,78.1,50.5
Radford city,VA,Low-Mod,78.1,40.1
Rappahannock County,VA,Low,78.1,68.2
Richmond city,VA,High,78.1,49.6
Richmond County,VA,Mod-High,78.1,47.9
Roanoke city,VA,High,78.1,49.5
Roanoke County,VA,Low,78.1,57.8
Rockbridge County,VA,Low,78.1,51.3
Rockingham County,VA,Low-Mod,78.1,49.3
Russell County,VA,Low-Mod,78.1,54.8
Salem city,VA,Low-Mod,78.1,51.7
Scott County,VA,Low-Mod,78.1,68.2
Shenandoah County,VA,Low-Mod,78.1,58.1
Smyth County,VA,High,78.1,57.9
Southampton County,VA,Low-Mod,78.1,45.7
Spotsylvania County,VA,Low-Mod,78.1,55.3
Stafford County,VA,Low,78.1,77.6
Staunton city,VA,Mod-High,78.1,53.8
Suffolk city,VA,Low-Mod,78.1,63.7
Surry County,VA,Mod-High,78.1,63.1
Sussex County,VA,High,78.1,42
Tazewell County,VA,Mod-High,78.1,53.7
Virginia Beach city,VA,Low-Mod,78.1,75.5
